Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
45.2,-65.5,2024-01,15623bab6-6f0e-cb83-01f2-8e606e058ae2,CAN,SMALL FORTUNE`S,2024-01-02T14:00:00Z,2024-01-31T23:00:00Z,DREDGE_FISHING,FISHING,316039557,,,2019-04-29T17:26:54Z,2026-07-06T23:58:19Z,2.58
46.8,-57.5,2024-01,dfbfc4fc9-9704-8e9b-03a0-8a0d7bd19fab,CAN,OSC MARINER,2024-01-28T11:00:00Z,2024-01-31T23:00:00Z,TRAWLERS,FISHING,316004111,,,2015-06-03T18:31:29Z,2026-07-06T23:59:54Z,0.94
45.2,-65.400002,2024-01,1daee97f4-44ad-f1d1-c1b8-a8bab51f6e3c,CAN,BRITTANY & MADISON V,2024-01-22T09:00:00Z,2024-01-31T20:00:00Z,FISHING,FISHING,316032477,,,2016-08-14T14:09:53Z,2026-07-06T21:10:05Z,3.09
45.3,-65.800003,2024-01,6ef5bd4fd-d2b7-5bbe-aac4-e44f8a2e0631,CAN,PRINCESS PAISLEY 2,2024-01-15T16:00:00Z,2024-01-31T01:00:00Z,FIXED_GEAR,FISHING,316038961,,,2018-11-28T14:57:32Z,2026-07-06T23:53:48Z,2.05
45.1,-65.699997,2024-01,be9e85252-2b25-df63-325b-6d9c33d269d5,CAN,BAY PREDATOR II,2024-01-09T12:00:00Z,2024-01-31T22:00:00Z,TRAWLERS,FISHING,316040039,,,2019-06-07T18:12:16Z,2025-12-12T22:02:00Z,26.17
48.1,-59.900002,2024-01,e73974cd6-6cf3-09d7-e70b-0f8d1ec9232c,CAN,CAPE CORDELL,2024-01-15T10:00:00Z,2024-01-17T11:00:00Z,TRAWLERS,FISHING,316007950,,,2012-05-11T14:28:22Z,2024-02-19T16:22:47Z,0.74
45.2,-66.099998,2024-01,4ede3ec23-3d3b-6f1b-9913-f843398392d3,CAN,FUNDY BANDIT,2024-01-23T15:00:00Z,2024-01-30T18:00:00Z,,FISHING,316051477,,,2023-04-22T01:08:51Z,2026-06-29T15:11:49Z,0.62
45.1,-65.800003,2024-01,15623bab6-6f0e-cb83-01f2-8e606e058ae2,CAN,SMALL FORTUNE`S,2024-01-02T14:00:00Z,2024-01-31T23:00:00Z,DREDGE_FISHING,FISHING,316039557,,,2019-04-29T17:26:54Z,2026-07-06T23:58:19Z,1.28
45.1,-65.900002,2024-01,0ad9fe9ca-a65d-ec0e-8383-214c325a0882,CAN,OCEAN PREDATOR 2019#,2024-01-09T02:00:00Z,2024-01-09T20:00:00Z,FISHING,FISHING,316036276,,,2019-03-21T19:21:56Z,2026-06-30T13:53:49Z,1.75
45.1,-66.699997,2024-01,ba49125bf-fbb1-bca2-eaaa-2d266b3f074d,CAN,FUNDY NAVIGATOR,2024-01-03T15:00:00Z,2024-01-31T09:00:00Z,FISHING,FISHING,316010834,,,2014-04-24T21:51:33Z,2026-07-06T23:58:38Z,9.8
