Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
49.9,-66.699997,2024-09,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-09-01T00:00:00Z,2024-09-30T22:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,27.62
45.6,-56.0,2024-09,acf1efdc7-7e97-bc04-9068-2ba44576458c,CAN,NAUTICAL NEMESIS,2024-09-03T09:00:00Z,2024-09-27T08:00:00Z,FIXED_GEAR,FISHING,316031357,,,2019-08-31T00:03:44Z,2026-07-06T23:59:31Z,45.8
46.6,-58.5,2024-09,f538b8eb8-8b5e-9062-d299-6512d6b2e64e,CAN,BLACK CLOUD,2024-09-10T04:00:00Z,2024-09-27T18:00:00Z,SET_GILLNETS,FISHING,316028047,,,2019-01-03T16:23:42Z,2026-07-06T07:05:27Z,14.11
49.8,-61.900002,2024-09,6f7d31268-8a67-82d2-e24c-29e5e39b1e1a,CAN,COSTERO,2024-09-05T04:00:00Z,2024-09-21T16:00:00Z,SET_LONGLINES,FISHING,316005961,,JR3525,2021-03-25T20:14:58Z,2026-06-28T12:08:51Z,4.33
45.1,-66.099998,2024-09,7dfd9e38e-ee0a-3155-6e7b-da9bbbb92f34,CAN,SAVVIE SAILOR,2024-09-03T22:00:00Z,2024-09-17T15:00:00Z,OTHER_PURSE_SEINES,FISHING,316051184,,CH16,2023-04-12T19:12:52Z,2026-07-06T23:58:42Z,1.03
46.3,-57.299999,2024-09,518cbda80-0d31-b5bf-9f98-b903589e93bc,CAN,LERY CHARLES,2024-09-05T06:00:00Z,2024-09-20T00:00:00Z,TRAWLERS,FISHING,316013881,,,2014-09-29T16:34:42Z,2026-07-06T23:58:06Z,1.43
46.3,-57.5,2024-09,518cbda80-0d31-b5bf-9f98-b903589e93bc,CAN,LERY CHARLES,2024-09-05T06:00:00Z,2024-09-20T00:00:00Z,TRAWLERS,FISHING,316013881,,,2014-09-29T16:34:42Z,2026-07-06T23:58:06Z,3.45
46.1,-56.400002,2024-09,405139223-3566-1834-ff43-0befaf5ceaa1,CAN,BURIN TRADITION,2024-09-11T01:00:00Z,2024-09-30T22:00:00Z,FIXED_GEAR,FISHING,316019185,,CH. 16,2013-04-22T02:21:03Z,2026-07-06T04:20:11Z,102.21
48.7,-68.800003,2024-09,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-09-01T00:00:00Z,2024-09-30T22:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,12.03
49.6,-66.900002,2024-09,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-09-01T00:00:00Z,2024-09-30T22:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,35.34
46.7,-64.5,2024-09,41074b520-0a58-ddb1-ce50-1041b46b14d5,CAN,HANNA-GRACE,2024-09-02T12:00:00Z,2024-09-28T13:00:00Z,FISHING,FISHING,316041666,,,2020-05-15T18:48:36Z,2026-06-25T18:41:24Z,33.59
45.0,-57.0,2024-09,05d2c9314-496f-c167-2e63-6839829e234b,CAN,NATHEN K,2024-09-04T02:00:00Z,2024-09-08T05:00:00Z,TRAWLERS,FISHING,316046363,,,2021-09-09T14:46:48Z,2026-07-06T23:43:18Z,2.0
48.1,-64.199997,2024-09,266320594-4ee5-78b7-5bae-78a99ebca7eb,CAN,,2024-09-01T16:00:00Z,2024-09-30T23:00:00Z,POLE_AND_LINE,FISHING,316006257,,,2022-04-06T17:34:57Z,2026-07-06T23:59:56Z,9.09
49.3,-63.700001,2024-09,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-09-07T14:00:00Z,2024-09-30T21:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,1.78
49.0,-68.5,2024-09,1f6794d0e-ec0f-c38c-ac77-5add83484435,CAN,JASON AUDREY,2024-09-06T14:00:00Z,2024-09-24T19:00:00Z,FIXED_GEAR,FISHING,316014495,,,2020-07-15T23:24:55Z,2026-04-26T18:26:54Z,3.29
49.0,-64.199997,2024-09,ecd143409-9c03-b150-5b7f-d7d3818c9af1,CAN,SIMON MATHIEU,2024-09-04T09:00:00Z,2024-09-05T00:00:00Z,FISHING,FISHING,316011587,,,2019-04-26T13:09:32Z,2026-07-01T22:52:18Z,6.9
48.9,-62.599998,2024-09,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-09-07T14:00:00Z,2024-09-30T21:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,18.8
45.1,-59.900002,2024-09,1ad6f94dc-cb79-a6a9-77cf-aaf772e4e98f,CAN,RS JOURNEY II,2024-09-01T00:00:00Z,2024-09-30T12:00:00Z,FISHING,FISHING,316002032,,,2022-08-26T17:57:18Z,2026-07-06T23:57:44Z,0.51
45.0,-67.0,2024-09,1f83663e2-2bd0-f5e4-9f5d-2c84cefe5fec,CAN,O`HANA 2019,2024-09-14T11:00:00Z,2024-09-14T15:00:00Z,POTS_AND_TRAPS,FISHING,316041401,,,2023-10-11T18:25:38Z,2026-07-05T14:44:26Z,0.43
45.8,-59.299999,2024-09,05d2c9314-496f-c167-2e63-6839829e234b,CAN,NATHEN K,2024-09-04T02:00:00Z,2024-09-08T05:00:00Z,TRAWLERS,FISHING,316046363,,,2021-09-09T14:46:48Z,2026-07-06T23:43:18Z,0.15
45.1,-66.800003,2024-09,ba49125bf-fbb1-bca2-eaaa-2d266b3f074d,CAN,FUNDY NAVIGATOR,2024-09-15T10:00:00Z,2024-09-15T12:00:00Z,FISHING,FISHING,316010834,,,2014-04-24T21:51:33Z,2026-07-06T23:58:38Z,0.17
46.9,-57.599998,2024-09,673d92d4e-e28c-ee4d-28c7-c21191231739,CAN,BLAIR MARIE & BOYS,2024-09-01T00:00:00Z,2024-09-20T12:00:00Z,SET_LONGLINES,FISHING,316001532,,,2023-03-23T09:29:19Z,2025-12-27T21:30:47Z,1.58
46.6,-58.599998,2024-09,4508c0be4-4ad8-85a1-2b2f-d34e1e6771f9,CAN,VICIOUS FISHER I,2024-09-11T08:00:00Z,2024-09-13T01:00:00Z,SET_LONGLINES,FISHING,316007238,,CH. 16,2012-09-05T22:48:24Z,2026-06-28T11:55:12Z,3.82
49.7,-61.900002,2024-09,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-09-01T00:00:00Z,2024-09-30T22:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,2.35
46.1,-56.099998,2024-09,7d8b28311-16d2-c24b-75ae-97b9a2fa3870,SPM,MARCEL ANGIE III,2024-09-01T00:00:00Z,2024-09-18T17:00:00Z,FISHING,FISHING,361001500,,FLXM,2019-09-23T19:32:23Z,2026-07-06T23:35:14Z,0.04
46.3,-57.0,2024-09,bcc10e198-8c2b-b7de-78ba-0af322acfbb8,CAN,CREWSHELL CHILL,2024-09-01T22:00:00Z,2024-09-30T04:00:00Z,FIXED_GEAR,FISHING,316021086,,,2013-05-30T12:36:01Z,2026-05-28T06:40:09Z,48.91
48.1,-64.099998,2024-09,266320594-4ee5-78b7-5bae-78a99ebca7eb,CAN,,2024-09-01T16:00:00Z,2024-09-30T23:00:00Z,POLE_AND_LINE,FISHING,316006257,,,2022-04-06T17:34:57Z,2026-07-06T23:59:56Z,0.49
45.2,-58.299999,2024-09,31741c0cd-dc88-1cbc-3622-5a2bb3074320,CAN,LADY TRISH,2024-09-01T00:00:00Z,2024-09-12T14:00:00Z,FIXED_GEAR,FISHING,316031058,,,2019-11-19T13:48:29Z,2026-06-13T16:40:41Z,15.94
45.2,-58.5,2024-09,31741c0cd-dc88-1cbc-3622-5a2bb3074320,CAN,LADY TRISH,2024-09-01T00:00:00Z,2024-09-12T14:00:00Z,FIXED_GEAR,FISHING,316031058,,,2019-11-19T13:48:29Z,2026-06-13T16:40:41Z,1.07
