Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
46.9,-57.599998,2024-02,f592078b1-1e89-68d1-bf80-3e8cb509638c,CAN,RUSSELL`S LEGACY,2024-02-20T12:00:00Z,2024-02-26T22:00:00Z,TRAWLERS,FISHING,316041365,,,2019-08-26T17:25:03Z,2026-07-06T22:48:17Z,0.66
45.9,-58.400002,2024-02,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-02-01T00:00:00Z,2024-02-28T20:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,3.67
46.4,-58.700001,2024-02,5b058637a-a4f7-f67d-332f-806d50514142,CAN,APEX PREDATOR 1,2024-02-10T10:00:00Z,2024-02-24T01:00:00Z,SET_LONGLINES,FISHING,316053563,,,2023-11-21T15:29:48Z,2026-07-06T23:58:15Z,12.49
45.1,-61.099998,2024-02,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-02-01T00:00:00Z,2024-02-28T20:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,1.41
45.1,-66.099998,2024-02,18462f45a-ab57-041f-98f2-c46d3b3a2217,CAN,GOIN`2POT,2024-02-01T14:00:00Z,2024-02-07T06:00:00Z,FISHING,FISHING,316038792,,,2019-01-15T00:36:12Z,2026-06-29T18:25:29Z,0.92
46.6,-58.200001,2024-02,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-02-01T00:00:00Z,2024-02-28T20:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,1.4
46.3,-56.099998,2024-02,2dc8b99e4-4269-104c-cd9b-bf2c564a364d,CAN,KATSHESHUK II,2024-02-08T16:00:00Z,2024-02-16T10:00:00Z,TRAWLERS,FISHING,316319000,9127174.0,VAAI,2012-01-01T01:26:36Z,2026-07-06T23:24:27Z,3.02
45.0,-56.200001,2024-02,9e26c88cd-daf7-4981-7489-fa77309145b7,SPM,TERRE NEUVAS,2024-02-08T08:00:00Z,2024-02-28T15:00:00Z,SET_LONGLINES,FISHING,361001600,7504201.0,FMVW,2023-01-21T19:25:41Z,2026-07-06T23:59:59Z,0.18
46.9,-58.0,2024-02,dfbfc4fc9-9704-8e9b-03a0-8a0d7bd19fab,CAN,OSC MARINER,2024-02-01T00:00:00Z,2024-02-04T12:00:00Z,TRAWLERS,FISHING,316004111,,,2015-06-03T18:31:29Z,2026-07-06T23:59:54Z,15.54
45.1,-65.5,2024-02,15623bab6-6f0e-cb83-01f2-8e606e058ae2,CAN,SMALL FORTUNE`S,2024-02-01T00:00:00Z,2024-02-23T15:00:00Z,DREDGE_FISHING,FISHING,316039557,,,2019-04-29T17:26:54Z,2026-07-06T23:58:19Z,7.23
46.8,-57.799999,2024-02,df64c7b30-0651-9cab-0552-1a8ed7a564fd,CAN,MARIE EVE II,2024-02-08T05:00:00Z,2024-02-27T13:00:00Z,TRAWLERS,FISHING,316003695,,VD7222,2015-12-28T12:18:24Z,2026-07-06T23:58:04Z,5.08
45.0,-56.099998,2024-02,2dc8b99e4-4269-104c-cd9b-bf2c564a364d,CAN,KATSHESHUK II,2024-02-08T16:00:00Z,2024-02-16T10:00:00Z,TRAWLERS,FISHING,316319000,9127174.0,VAAI,2012-01-01T01:26:36Z,2026-07-06T23:24:27Z,0.64
47.3,-60.299999,2024-02,5a9711ce7-747e-e81e-cf74-9c3c55493d34,CAN,HARD DAY`S NIGHT,2024-02-26T10:00:00Z,2024-02-28T06:00:00Z,FISHING,FISHING,316043687,,CH 16,2021-10-12T11:04:33Z,2026-05-03T09:34:39Z,12.28
45.2,-65.800003,2024-02,7a7e88578-88e7-bae8-e160-a367ae8ce347,CAN,LAST KANA,2024-02-01T10:00:00Z,2024-02-02T13:00:00Z,FISHING,FISHING,316038833,,,2018-10-25T13:23:53Z,2026-06-30T13:44:23Z,0.76
46.8,-56.900002,2024-02,dfbfc4fc9-9704-8e9b-03a0-8a0d7bd19fab,CAN,OSC MARINER,2024-02-01T00:00:00Z,2024-02-04T12:00:00Z,TRAWLERS,FISHING,316004111,,,2015-06-03T18:31:29Z,2026-07-06T23:59:54Z,1.03
46.5,-58.5,2024-02,447d97d9e-eedc-33ba-01f1-16747d105319,CAN,RYAN AND GIRLS,2024-02-10T06:00:00Z,2024-02-16T01:00:00Z,FIXED_GEAR,FISHING,316019959,,CH.16,2013-02-06T23:12:34Z,2026-07-06T23:59:29Z,4.27
45.2,-65.800003,2024-02,1e7840055-5cd0-c45b-109e-215b34a6ddb3,CAN,PIELAW,2024-02-01T14:00:00Z,2024-02-21T09:00:00Z,TRAWLERS,FISHING,316020774,,,2014-09-09T05:13:35Z,2026-07-06T06:45:16Z,30.77
46.6,-58.900002,2024-02,447d97d9e-eedc-33ba-01f1-16747d105319,CAN,RYAN AND GIRLS,2024-02-10T06:00:00Z,2024-02-16T01:00:00Z,FIXED_GEAR,FISHING,316019959,,CH.16,2013-02-06T23:12:34Z,2026-07-06T23:59:29Z,1.31
45.1,-66.599998,2024-02,c403a300d-d04a-6f8a-fd9a-8b4d0e848ad9,CAN,VICIOUS ALOYSIUS,2024-02-01T09:00:00Z,2024-02-07T22:00:00Z,FIXED_GEAR,FISHING,316036425,,06,2018-03-08T19:53:51Z,2026-07-05T18:24:03Z,1.19
46.7,-56.0,2024-02,dfbfc4fc9-9704-8e9b-03a0-8a0d7bd19fab,CAN,OSC MARINER,2024-02-01T00:00:00Z,2024-02-04T12:00:00Z,TRAWLERS,FISHING,316004111,,,2015-06-03T18:31:29Z,2026-07-06T23:59:54Z,0.56
46.7,-57.599998,2024-02,dfbfc4fc9-9704-8e9b-03a0-8a0d7bd19fab,CAN,OSC MARINER,2024-02-01T00:00:00Z,2024-02-04T12:00:00Z,TRAWLERS,FISHING,316004111,,,2015-06-03T18:31:29Z,2026-07-06T23:59:54Z,0.98
45.1,-65.699997,2024-02,4ede3ec23-3d3b-6f1b-9913-f843398392d3,CAN,FUNDY BANDIT,2024-02-01T10:00:00Z,2024-02-07T23:00:00Z,,FISHING,316051477,,,2023-04-22T01:08:51Z,2026-06-29T15:11:49Z,21.38
