Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
47.3,-60.200001,2024-03,5a9711ce7-747e-e81e-cf74-9c3c55493d34,CAN,HARD DAY`S NIGHT,2024-03-04T10:00:00Z,2024-03-18T02:00:00Z,FISHING,FISHING,316043687,,CH 16,2021-10-12T11:04:33Z,2026-05-03T09:34:39Z,41.89
48.3,-59.799999,2024-03,a860e2995-54f0-6403-3f8a-6c51444b52f9,CAN,SEA VOYAGER II,2024-03-05T10:00:00Z,2024-03-17T19:00:00Z,TRAWLERS,FISHING,316002174,,,2014-07-14T10:25:35Z,2026-07-06T16:23:41Z,5.68
46.8,-57.700001,2024-03,df64c7b30-0651-9cab-0552-1a8ed7a564fd,CAN,MARIE EVE II,2024-03-03T06:00:00Z,2024-03-29T09:00:00Z,TRAWLERS,FISHING,316003695,,VD7222,2015-12-28T12:18:24Z,2026-07-06T23:58:04Z,13.73
48.8,-67.800003,2024-03,3b461efd3-34cd-826c-083f-f8278c14c4fa,CAN,R.M. BOURLINGEUR,2024-03-25T15:00:00Z,2024-03-29T15:00:00Z,FIXED_GEAR,FISHING,316020601,,,2020-04-16T12:06:31Z,2026-06-22T21:45:31Z,0.83
46.0,-58.200001,2024-03,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-03-11T06:00:00Z,2024-03-23T08:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,37.44
45.9,-58.299999,2024-03,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-03-11T06:00:00Z,2024-03-23T08:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,2.96
49.0,-58.099998,2024-03,43f7a90d0-056c-1c0c-4eea-e1f02b98eba5,CAN,M & R TRADITION,2024-03-09T08:00:00Z,2024-03-26T20:00:00Z,TRAWLERS,FISHING,316002703,,,2015-06-02T15:00:48Z,2026-07-06T17:47:51Z,1.32
47.1,-58.200001,2024-03,f592078b1-1e89-68d1-bf80-3e8cb509638c,CAN,RUSSELL`S LEGACY,2024-03-03T06:00:00Z,2024-03-31T22:00:00Z,TRAWLERS,FISHING,316041365,,,2019-08-26T17:25:03Z,2026-07-06T22:48:17Z,52.8
48.3,-59.799999,2024-03,43f7a90d0-056c-1c0c-4eea-e1f02b98eba5,CAN,M & R TRADITION,2024-03-09T08:00:00Z,2024-03-26T20:00:00Z,TRAWLERS,FISHING,316002703,,,2015-06-02T15:00:48Z,2026-07-06T17:47:51Z,20.16
47.1,-60.200001,2024-03,f538b8eb8-8b5e-9062-d299-6512d6b2e64e,CAN,BLACK CLOUD,2024-03-05T19:00:00Z,2024-03-26T21:00:00Z,SET_GILLNETS,FISHING,316028047,,,2019-01-03T16:23:42Z,2026-07-06T07:05:27Z,2.76
45.1,-57.099998,2024-03,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-03-10T07:00:00Z,2024-03-23T14:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,2.04
46.8,-57.700001,2024-03,900836bdd-d9ce-5c3b-02d1-c1de5fb32078,CAN,ATLANTIC BLUEFIN TOO,2024-03-06T17:00:00Z,2024-03-31T12:00:00Z,FISHING,FISHING,316007010,,,2015-11-02T03:02:04Z,2026-07-06T23:48:29Z,23.58
46.7,-58.599998,2024-03,447d97d9e-eedc-33ba-01f1-16747d105319,CAN,RYAN AND GIRLS,2024-03-05T07:00:00Z,2024-03-16T19:00:00Z,FIXED_GEAR,FISHING,316019959,,CH.16,2013-02-06T23:12:34Z,2026-07-06T23:59:29Z,5.02
46.9,-59.900002,2024-03,5a9711ce7-747e-e81e-cf74-9c3c55493d34,CAN,HARD DAY`S NIGHT,2024-03-04T10:00:00Z,2024-03-18T02:00:00Z,FISHING,FISHING,316043687,,CH 16,2021-10-12T11:04:33Z,2026-05-03T09:34:39Z,15.79
47.0,-60.299999,2024-03,02465bc61-10da-ff4c-3cfb-8e0f4b045801,CAN,CASH STERN,2024-03-26T05:00:00Z,2024-03-27T03:00:00Z,SET_GILLNETS,FISHING,316051092,,,2023-03-01T05:12:37Z,2026-05-14T09:19:52Z,0.08
46.4,-60.299999,2024-03,47ff0824d-d755-1167-a6bf-3a36dd335d24,CAN,,2024-03-15T08:00:00Z,2024-03-15T19:00:00Z,DREDGE_FISHING,FISHING,316050297,,,2022-08-27T15:27:18Z,2024-03-15T20:46:57Z,2.65
45.2,-60.700001,2024-03,7dfd9e38e-ee0a-3155-6e7b-da9bbbb92f34,CAN,SAVVIE SAILOR,2024-03-27T14:00:00Z,2024-03-27T17:00:00Z,OTHER_PURSE_SEINES,FISHING,316051184,,CH16,2023-04-12T19:12:52Z,2026-07-06T23:58:42Z,1.02
45.0,-66.800003,2024-03,de136aa5c-c7f3-f978-e6b1-6d9bb1bdd665,CAN,GRAND RETRIEVER,2024-03-01T12:00:00Z,2024-03-05T15:00:00Z,INCONCLUSIVE,FISHING,316001962,6410192.0,VC 8540,2022-08-04T17:55:35Z,2026-07-06T23:31:04Z,0.7
48.3,-59.700001,2024-03,b16853923-309c-e6c3-4745-c0d161bfe378,CAN,B & B MARINER,2024-03-16T17:00:00Z,2024-03-20T14:00:00Z,TRAWLERS,FISHING,316011433,,,2013-10-07T01:30:11Z,2026-07-06T23:03:59Z,0.43
47.2,-60.5,2024-03,f538b8eb8-8b5e-9062-d299-6512d6b2e64e,CAN,BLACK CLOUD,2024-03-05T19:00:00Z,2024-03-26T21:00:00Z,SET_GILLNETS,FISHING,316028047,,,2019-01-03T16:23:42Z,2026-07-06T07:05:27Z,0.69
45.0,-67.0,2024-03,ba49125bf-fbb1-bca2-eaaa-2d266b3f074d,CAN,FUNDY NAVIGATOR,2024-03-31T18:00:00Z,2024-03-31T19:00:00Z,FISHING,FISHING,316010834,,,2014-04-24T21:51:33Z,2026-07-06T23:58:38Z,1.0
46.3,-60.299999,2024-03,0d0a9919b-ba18-2c17-dca2-6ec1e97770ac,CAN,KAREN AND LISA,2024-03-19T07:00:00Z,2024-03-19T20:00:00Z,,FISHING,316050297,,,2022-09-14T12:34:53Z,2026-05-22T10:44:25Z,0.0
48.1,-59.700001,2024-03,b16853923-309c-e6c3-4745-c0d161bfe378,CAN,B & B MARINER,2024-03-16T17:00:00Z,2024-03-20T14:00:00Z,TRAWLERS,FISHING,316011433,,,2013-10-07T01:30:11Z,2026-07-06T23:03:59Z,8.61
45.4,-56.200001,2024-03,673d92d4e-e28c-ee4d-28c7-c21191231739,CAN,BLAIR MARIE & BOYS,2024-03-18T06:00:00Z,2024-03-18T21:00:00Z,SET_LONGLINES,FISHING,316001532,,,2023-03-23T09:29:19Z,2025-12-27T21:30:47Z,0.45
48.2,-59.799999,2024-03,c405f67e3-3d27-39dd-b135-753d223a3a5d,CAN,MERIDIAN 66,2024-03-06T07:00:00Z,2024-03-26T13:00:00Z,TRAWLERS,FISHING,316003542,,,2015-05-03T01:30:52Z,2026-05-05T12:08:58Z,82.0
48.6,-68.699997,2024-03,09867d9ba-aa7d-e56c-0877-e3d059c4dfff,CAN,LE CLARISSA,2024-03-25T13:00:00Z,2024-03-29T17:00:00Z,SET_GILLNETS,FISHING,316031917,,,2018-03-23T12:21:35Z,2026-06-05T15:02:11Z,6.04
47.1,-58.099998,2024-03,df64c7b30-0651-9cab-0552-1a8ed7a564fd,CAN,MARIE EVE II,2024-03-03T06:00:00Z,2024-03-29T09:00:00Z,TRAWLERS,FISHING,316003695,,VD7222,2015-12-28T12:18:24Z,2026-07-06T23:58:04Z,3.51
45.2,-60.5,2024-03,771802d64-4b95-edd6-f1f1-8e1619d47954,CAN,CRAWLER HAULER 1,2024-03-19T20:00:00Z,2024-03-21T01:00:00Z,SET_LONGLINES,FISHING,316028343,,CFN,2021-10-10T00:10:38Z,2026-07-06T05:28:40Z,0.35
46.0,-58.700001,2024-03,f538b8eb8-8b5e-9062-d299-6512d6b2e64e,CAN,BLACK CLOUD,2024-03-05T19:00:00Z,2024-03-26T21:00:00Z,SET_GILLNETS,FISHING,316028047,,,2019-01-03T16:23:42Z,2026-07-06T07:05:27Z,11.55
47.0,-58.099998,2024-03,f592078b1-1e89-68d1-bf80-3e8cb509638c,CAN,RUSSELL`S LEGACY,2024-03-03T06:00:00Z,2024-03-31T22:00:00Z,TRAWLERS,FISHING,316041365,,,2019-08-26T17:25:03Z,2026-07-06T22:48:17Z,14.42
48.3,-59.799999,2024-03,48ceeb161-1ecd-7763-ce4b-23d6372d5b1e,CAN,GUARDIAN GALE,2024-03-04T18:00:00Z,2024-03-27T11:00:00Z,TRAWLERS,FISHING,316010360,,,2014-08-03T01:27:18Z,2026-07-06T23:06:48Z,28.82
