Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
47.0,-56.299999,2024-12,ad0a0d0b0-0d39-ea69-f1c6-f02eed79d202,SPM,MOLIPA,2024-12-03T12:00:00Z,2024-12-04T13:00:00Z,FIXED_GEAR,FISHING,361000970,,FAJ4307,2022-04-23T07:44:53Z,2026-07-05T15:33:48Z,1.62
45.1,-66.900002,2024-12,0c56959f1-1799-b280-758f-21c2cc7980b3,CAN,CAMERON`S PRIDE,2024-12-02T10:00:00Z,2024-12-20T14:00:00Z,SET_GILLNETS,FISHING,316041741,,,2019-11-14T09:37:32Z,2026-06-25T17:10:20Z,37.91
46.2,-59.900002,2024-12,d28aee07a-a77e-bffb-568d-ff3589810144,CAN,K M K A VOYAGER,2024-12-05T12:00:00Z,2024-12-05T14:00:00Z,FISHING,FISHING,316002699,,,2013-10-09T15:17:40Z,2026-06-28T17:34:54Z,1.91
45.6,-58.400002,2024-12,0ebeb84f8-86a6-4196-7dc3-123dc4ed569f,CAN,ADELE EVANGELINE,2024-12-01T09:00:00Z,2024-12-17T00:00:00Z,SET_GILLNETS,FISHING,316011403,,CH.16,2013-10-10T08:07:41Z,2026-04-15T19:46:39Z,7.07
47.3,-57.5,2024-12,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-12-02T01:00:00Z,2024-12-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,19.39
46.3,-59.799999,2024-12,2d674c2b8-8beb-fdbe-b977-c0993e2f1277,CAN,COUNT IT JOY,2024-12-02T14:00:00Z,2024-12-04T06:00:00Z,SET_GILLNETS,FISHING,316038703,,,2018-09-19T14:46:29Z,2026-07-02T12:26:35Z,0.1
45.0,-66.900002,2024-12,603504a0f-f337-7214-e628-964b0c809fab,CAN,LADY MALISEET,2024-12-02T10:00:00Z,2024-12-20T18:00:00Z,FIXED_GEAR,FISHING,316026077,,,2014-06-17T04:24:08Z,2026-07-06T23:54:34Z,0.99
45.0,-66.900002,2024-12,25034e679-9173-3a42-7f19-b3f89b9f9f3f,CAN,DIVER`S DEN,2024-12-02T18:00:00Z,2024-12-31T12:00:00Z,POTS_AND_TRAPS,FISHING,316051499,,,2024-05-17T08:24:48Z,2025-10-20T11:36:47Z,10.66
47.1,-57.5,2024-12,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-12-02T01:00:00Z,2024-12-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,8.33
46.1,-59.5,2024-12,090df409b-be88-cbd1-e53d-95e95c8d5269,CAN,,2024-12-11T10:00:00Z,2024-12-13T07:00:00Z,FISHING,FISHING,316045146,,,2022-07-06T15:34:01Z,2026-04-28T08:26:38Z,6.26
49.5,-58.900002,2024-12,456713809-9780-df6c-5a4a-8c7def1f8ef6,CAN,ATLANTIC EXPLORER II,2024-12-03T08:00:00Z,2024-12-05T16:00:00Z,FISHING,FISHING,316010140,,,2020-09-10T23:03:44Z,2026-07-06T18:50:30Z,0.48
49.7,-59.0,2024-12,a860e2995-54f0-6403-3f8a-6c51444b52f9,CAN,SEA VOYAGER II,2024-12-03T08:00:00Z,2024-12-05T15:00:00Z,TRAWLERS,FISHING,316002174,,,2014-07-14T10:25:35Z,2026-07-06T16:23:41Z,13.38
45.6,-58.5,2024-12,0ebeb84f8-86a6-4196-7dc3-123dc4ed569f,CAN,ADELE EVANGELINE,2024-12-01T09:00:00Z,2024-12-17T00:00:00Z,SET_GILLNETS,FISHING,316011403,,CH.16,2013-10-10T08:07:41Z,2026-04-15T19:46:39Z,33.71
46.1,-59.5,2024-12,f538b8eb8-8b5e-9062-d299-6512d6b2e64e,CAN,BLACK CLOUD,2024-12-01T12:00:00Z,2024-12-20T11:00:00Z,SET_GILLNETS,FISHING,316028047,,,2019-01-03T16:23:42Z,2026-07-06T07:05:27Z,21.92
49.1,-58.299999,2024-12,48ceeb161-1ecd-7763-ce4b-23d6372d5b1e,CAN,GUARDIAN GALE,2024-12-02T14:00:00Z,2024-12-06T01:00:00Z,TRAWLERS,FISHING,316010360,,,2014-08-03T01:27:18Z,2026-07-06T23:06:48Z,1.82
45.4,-60.900002,2024-12,b1d815681-1c77-f3de-89d7-4c8b507e7985,CAN,IRISH TOWNER 1,2024-12-01T11:00:00Z,2024-12-01T14:00:00Z,,FISHING,316053615,,,2024-06-09T09:58:52Z,2026-05-20T16:03:55Z,1.82
47.1,-58.200001,2024-12,be7600240-0dcd-954a-4e6c-8a5092819ff9,CAN,LADY CHRISTANNA,2024-12-03T08:00:00Z,2024-12-04T16:00:00Z,FISHING,FISHING,316002469,,VC3203,2017-04-30T23:58:11Z,2026-07-06T23:59:30Z,5.31
47.4,-57.5,2024-12,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-12-02T01:00:00Z,2024-12-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,1.61
47.2,-57.400002,2024-12,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-12-02T01:00:00Z,2024-12-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,17.6
46.7,-57.700001,2024-12,3c447ad31-1c26-2868-736e-2fccb6120740,CAN,EMRY BOYS,2024-12-02T01:00:00Z,2024-12-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,316025389,,,2020-10-07T17:07:50Z,2025-11-25T16:43:30Z,3.06
45.0,-65.599998,2024-12,2c86e3630-039f-e99e-1f29-d142d5d4b463,CAN,FAMILY RUN,2024-12-09T11:00:00Z,2024-12-09T11:00:00Z,FISHING,FISHING,316044528,,CH 16,2021-01-20T12:54:23Z,2026-07-06T23:52:03Z,1.95
46.2,-59.799999,2024-12,712a8bb75-53b2-e3e1-0c39-4821d497e041,CAN,NANNY BESSIE,2024-12-11T15:00:00Z,2024-12-15T18:00:00Z,TRAWLERS,FISHING,316023983,,,2013-03-01T15:40:34Z,2026-07-06T21:08:16Z,1.63
45.9,-58.099998,2024-12,64d5a1adf-f4cb-9dea-2d39-cbb83e927f31,CAN,LET R RIP,2024-12-02T02:00:00Z,2024-12-13T13:00:00Z,SET_LONGLINES,FISHING,316002514,,,2020-11-11T15:39:26Z,2026-07-06T23:58:57Z,12.42
49.1,-63.299999,2024-12,c405f67e3-3d27-39dd-b135-753d223a3a5d,CAN,MERIDIAN 66,2024-12-10T07:00:00Z,2024-12-10T18:00:00Z,TRAWLERS,FISHING,316003542,,,2015-05-03T01:30:52Z,2026-05-05T12:08:58Z,1.44
45.4,-57.700001,2024-12,712a8bb75-53b2-e3e1-0c39-4821d497e041,CAN,NANNY BESSIE,2024-12-11T15:00:00Z,2024-12-15T18:00:00Z,TRAWLERS,FISHING,316023983,,,2013-03-01T15:40:34Z,2026-07-06T21:08:16Z,3.24
