Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
48.9,-62.599998,2024-10,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-10-01T01:00:00Z,2024-10-26T11:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,12.65
49.7,-61.400002,2024-10,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-10-01T00:00:00Z,2024-10-31T23:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,34.49
45.0,-59.5,2024-10,1ad6f94dc-cb79-a6a9-77cf-aaf772e4e98f,CAN,RS JOURNEY II,2024-10-04T18:00:00Z,2024-10-05T16:00:00Z,FISHING,FISHING,316002032,,,2022-08-26T17:57:18Z,2026-07-06T23:57:44Z,2.41
47.4,-58.799999,2024-10,936cf18c0-0b90-9491-ee71-1d7cb00745c0,CAN,CAPE ASHLEY,2024-10-04T00:00:00Z,2024-10-30T19:00:00Z,TRAWLERS,FISHING,316006009,,,2015-07-02T22:02:18Z,2025-02-25T22:35:59Z,16.5
45.0,-59.799999,2024-10,1ad6f94dc-cb79-a6a9-77cf-aaf772e4e98f,CAN,RS JOURNEY II,2024-10-04T18:00:00Z,2024-10-05T16:00:00Z,FISHING,FISHING,316002032,,,2022-08-26T17:57:18Z,2026-07-06T23:57:44Z,2.81
47.9,-59.700001,2024-10,fd5ceb0dc-ceb6-d8f0-2237-3dac4a8e87fb,CAN,NEWFOUNDLAND STORM,2024-10-06T09:00:00Z,2024-10-23T00:00:00Z,TRAWLERS,FISHING,316006413,,,2013-06-08T01:55:46Z,2026-06-24T10:02:41Z,1.38
49.9,-61.400002,2024-10,3f0ae4beb-b073-81d3-1064-c7f8aee8cf28,CAN,BENJAMIN JOSEPH,2024-10-08T05:00:00Z,2024-10-13T16:00:00Z,SET_GILLNETS,FISHING,316031686,,,2016-07-23T15:17:07Z,2026-07-05T12:11:08Z,13.44
49.0,-62.900002,2024-10,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-10-01T01:00:00Z,2024-10-26T11:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,6.4
49.1,-63.099998,2024-10,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-10-01T01:00:00Z,2024-10-26T11:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,2.04
49.6,-61.599998,2024-10,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-10-01T00:00:00Z,2024-10-31T23:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,2.77
45.6,-60.299999,2024-10,cbf053470-02b9-87d0-9e59-ed60a90fac48,CAN,MEANT TO BE,2024-10-03T14:00:00Z,2024-10-03T18:00:00Z,SET_GILLNETS,FISHING,316008386,,,2024-07-05T14:41:58Z,2025-09-25T23:10:44Z,5.08
46.8,-60.0,2024-10,134f15464-4237-6fd1-60e1-9da607a4aecc,CAN,HIGH ROLLER,2024-10-03T08:00:00Z,2024-10-03T21:00:00Z,SET_GILLNETS,FISHING,316045587,,,2022-04-25T22:12:40Z,2026-07-06T15:09:11Z,5.06
45.1,-65.400002,2024-10,1daee97f4-44ad-f1d1-c1b8-a8bab51f6e3c,CAN,BRITTANY & MADISON V,2024-10-17T18:00:00Z,2024-10-30T13:00:00Z,FISHING,FISHING,316032477,,,2016-08-14T14:09:53Z,2026-07-06T21:10:05Z,3.44
49.1,-63.299999,2024-10,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-10-01T01:00:00Z,2024-10-26T11:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,0.03
49.0,-68.400002,2024-10,fda6f9490-0af1-c87e-d126-6aeb856fbca8,CAN,YOHAN MIRJA,2024-10-01T00:00:00Z,2024-10-31T23:00:00Z,TRAWLERS,FISHING,316003839,,,2023-05-11T16:11:16Z,2026-05-05T11:31:44Z,33.83
47.5,-59.200001,2024-10,936cf18c0-0b90-9491-ee71-1d7cb00745c0,CAN,CAPE ASHLEY,2024-10-04T00:00:00Z,2024-10-30T19:00:00Z,TRAWLERS,FISHING,316006009,,,2015-07-02T22:02:18Z,2025-02-25T22:35:59Z,4.36
46.7,-58.700001,2024-10,80fdab43b-b467-d57d-e7bd-863fb7b0e89a,CAN,FISHING,2024-10-19T08:00:00Z,2024-10-31T23:00:00Z,SET_LONGLINES,FISHING,316050986,,,2024-08-21T13:21:41Z,2026-04-14T23:49:55Z,2.37
49.0,-59.5,2024-10,b16853923-309c-e6c3-4745-c0d161bfe378,CAN,B & B MARINER,2024-10-05T16:00:00Z,2024-10-30T10:00:00Z,TRAWLERS,FISHING,316011433,,,2013-10-07T01:30:11Z,2026-07-06T23:03:59Z,11.62
46.8,-64.5,2024-10,8cd373f59-9891-388c-d506-35716b5e441c,CAN,KWIMU II,2024-10-01T09:00:00Z,2024-10-07T16:00:00Z,FISHING,FISHING,316041669,,,2020-05-14T14:56:43Z,2026-07-06T18:34:11Z,3.03
45.0,-61.200001,2024-10,ebfe3b86d-daf4-2edc-c023-f42c10b8e759,CAN,JOSIE`S PRIDE,2024-10-08T22:00:00Z,2024-10-08T23:00:00Z,FISHING,FISHING,316016964,,,2016-07-19T20:24:12Z,2026-05-22T04:18:48Z,0.52
46.3,-57.0,2024-10,8d09303c1-1ed9-fe12-8e6c-ef45bbc0b557,CAN,MY MARIA,2024-10-30T07:00:00Z,2024-10-31T21:00:00Z,SET_LONGLINES,FISHING,316009951,,,2023-03-22T14:09:47Z,2026-07-06T17:10:30Z,21.74
45.1,-65.800003,2024-10,15623bab6-6f0e-cb83-01f2-8e606e058ae2,CAN,SMALL FORTUNE`S,2024-10-01T09:00:00Z,2024-10-24T20:00:00Z,DREDGE_FISHING,FISHING,316039557,,,2019-04-29T17:26:54Z,2026-07-06T23:58:19Z,7.53
