incident_id,species_code,lat,lon,year,month,vessel_type,speed_knots,outcome,source,notes
OBIS_0923326a-b838-4e88-9ed6-c9454a94235a,HUMPBACK,41.59608,-68.47072,2003,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2003
OBIS_09279811-8c52-4beb-9908-cae2baac27aa,HUMPBACK,41.29625,-69.25496,2011,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_092a3aec-aa04-491e-b2e4-f230151aa22a,HUMPBACK,42.2554067,-70.17901,2019,4,,,unknown,OBIS_MachineObservation,
OBIS_092cadfd-1f76-42c6-97b9-7b89e4e8129c,HUMPBACK,41.66993,-69.51897,2019,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2019
OBIS_092dd270-515a-4b9b-8d48-5f67a6c26ba6,HUMPBACK,42.05808,-68.90458,2007,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_0933507a-c408-4188-81e2-d0bc66a2f5e7,HUMPBACK,41.77525,-69.83617,2022,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2022
OBIS_0936a49f-8249-48e8-9ab3-976f1d0e6fad,HUMPBACK,41.60692,-68.98809,2008,9,,,unknown,OBIS_MachineObservation,USGS Patuxent Wildlife Research Center Seabirds Database
OBIS_0936e389-9e6c-47e2-ac8e-affc6aa7896d,HUMPBACK,41.90524,-69.84212,2014,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_093b0357-1096-47c5-bced-1810afc7650e,HUMPBACK,41.081578,-71.716613,2022,8,,,unknown,OBIS_MachineObservation,CRESLI marine mammal observations from whale watch cruises 2022
OBIS_093b0bd5-2aa2-4c82-9bba-9c4aecf33b22,HUMPBACK,41.932,-69.71296,2022,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2022
OBIS_093ee71b-c7ff-42e1-a652-b9c738285cf6,HUMPBACK,42.01567,-67.147,2005,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_0941a914-ff0f-42cb-976b-54c782bf6f72,HUMPBACK,41.4913,-68.56923,2003,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09459564-34bd-4284-9a81-31370aa49fbc,HUMPBACK,42.40453,-70.49163,2016,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2016
OBIS_0946a3e5-95e4-4c96-9bb9-b529b68ebfda,HUMPBACK,44.42956,-66.67721,2022,7,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_09476c50-c719-4b0a-ab09-9b709b77432b,HUMPBACK,41.46959,-69.34946,2012,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2012
OBIS_0949e5fc-c796-4ac9-a7cc-dcc1005c52b9,HUMPBACK,41.61057,-69.6238,2002,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2002
OBIS_094e15a9-0536-4eb2-ba75-9326f275c0bf,HUMPBACK,42.3099,-70.2881,2008,11,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09529294-3909-4d20-881c-c894d7312e6c,HUMPBACK,44.1348,-67.8698,2006,7,,,unknown,OBIS_MachineObservation,USGS Patuxent Wildlife Research Center Seabirds Database
OBIS_096c45c6-fb1f-4416-a66b-d63af1e75b99,HUMPBACK,41.0657,-69.11525,2002,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2002
OBIS_0970f47b-4ad6-4088-a962-c3b5990e62f2,HUMPBACK,44.246111,-66.344167,2024,8,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_0972d041-972e-4b1d-99a5-9a3be2811c6f,HUMPBACK,44.206296,-66.266623,2022,7,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_097430a3-b9e0-47c3-9f86-05eec15361c1,HUMPBACK,42.24159,-67.99479,2016,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2016
OBIS_0977042f-8572-404d-9b9e-d184db5006ad,HUMPBACK,42.1671,-70.12368,2016,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_097e69fb-109a-4115-ac02-1f08e1ea1b74,HUMPBACK,40.729106,-72.733996,2019,9,,,unknown,OBIS_MachineObservation,NYSDEC aerial surveys
OBIS_09806d68-a3d7-43e6-b48e-b0fce72b321f,HUMPBACK,42.13785,-70.17488,2009,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2009
OBIS_09822ead-3cf3-42db-8829-6e225d5fd7a3,HUMPBACK,44.1167,-66.65,2000,8,,,unknown,OBIS_MachineObservation,"Allied Humpback Whale Catalogue, 1976 - 2003"
OBIS_09839fde-29cd-46d8-bbe3-71baff3d13d8,HUMPBACK,42.659527,-70.47766,2023,7,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_0984b4ad-531c-47b1-bd3e-bee49c30aeed,HUMPBACK,41.61201,-69.63032,2016,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2016
OBIS_09899c71-a4fd-4014-b30c-473978ca9060,HUMPBACK,40.21258,-71.2004,2023,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_0989cb18-5e5d-4722-a351-dfd1891d76bd,HUMPBACK,42.80292,-70.21495,2023,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_098c7542-2b3d-446d-b971-19686e011bc4,HUMPBACK,42.1434,-69.8972,2008,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2008
OBIS_098e0edf-26a4-49f9-89ef-89a8cd5cc870,HUMPBACK,42.47083,-70.242287,2020,10,,,unknown,OBIS_MachineObservation,
OBIS_09921c4a-e0af-4a34-bf64-263ef898b49d,HUMPBACK,41.17592,-68.86733,2024,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2024
OBIS_09927123-8b8c-421d-8382-1efd275f5860,HUMPBACK,41.1365,-69.185,2003,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09986c76-d4c7-4609-ab96-9b0dfefdc3ba,HUMPBACK,42.8688,-70.248,2003,6,,,unknown,OBIS_MachineObservation,"Allied Humpback Whale Catalogue, 1976 - 2003"
OBIS_09995f99-acf8-462f-95be-5105fdc045ed,HUMPBACK,41.75445,-68.54379,2005,8,,,unknown,OBIS_MachineObservation,Visual sightings from Song of the Whale 1993-2013
OBIS_099965eb-f962-4827-8383-369dccbc2228,HUMPBACK,41.748,-68.3876,2018,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2018
OBIS_099d030c-d387-45eb-bc40-7b409a45c066,HUMPBACK,41.58861,-69.28393,2002,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2002
OBIS_099eec60-2890-40a2-b6fd-0e2fe9f07204,HUMPBACK,44.11624,-67.84131,2002,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09a04724-5e58-4ca2-849d-37d308276c0b,HUMPBACK,44.35,-66.81,2023,8,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_09a0a043-25f2-4623-8e82-1ee6355bff5c,HUMPBACK,41.63788,-68.33104,2017,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09a4495f-7e6c-4328-94ba-fd2aa37163cd,HUMPBACK,41.51,-69.41867,2001,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09b5ac90-050c-46cf-a70d-097bb7e11fa2,HUMPBACK,41.4645,-68.56266,2005,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09ba405f-6306-4050-8044-ea246a0b11e3,HUMPBACK,42.563071,-70.683732,2024,10,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
